Assets/Q&A/Nivel2_Pregunta1,posx,posy,Assets/Q&A/Nivel2_Respuesta11,Assets/Q&A/Nivel2_Respuesta12,Assets/Q&A/Nivel2_Respuesta13
Assets/Q&A/Nivel2_Pregunta2,posx,posy,Assets/Q&A/Nivel2_Respuesta21,Assets/Q&A/Nivel2_Respuesta22,Assets/Q&A/Nivel2_Respuesta23
Assets/Q&A/Nivel2_Pregunta3,posx,posy,Assets/Q&A/Nivel2_Respuesta31,Assets/Q&A/Nivel2_Respuesta32,Assets/Q&A/Nivel2_Respuesta33
Assets/Q&A/Nivel2_Pregunta4,posx,posy,Assets/Q&A/Nivel2_Respuesta41,Assets/Q&A/Nivel2_Respuesta42,Assets/Q&A/Nivel2_Respuesta43
Assets/Q&A/Nivel2_Pregunta5,posx,posy,Assets/Q&A/Nivel2_Respuesta51,Assets/Q&A/Nivel2_Respuesta52,Assets/Q&A/Nivel2_Respuesta53
Assets/Q&A/Nivel2_Pregunta6,posx,posy,Assets/Q&A/Nivel2_Respuesta61,Assets/Q&A/Nivel2_Respuesta62,Assets/Q&A/Nivel2_Respuesta63
Assets/Q&A/Nivel2_Pregunta7,posx,posy,Assets/Q&A/Nivel2_Respuesta71,Assets/Q&A/Nivel2_Respuesta72,Assets/Q&A/Nivel2_Respuesta73
Assets/Q&A/Nivel2_Pregunta8,posx,posy,Assets/Q&A/Nivel2_Respuesta81,Assets/Q&A/Nivel2_Respuesta82,Assets/Q&A/Nivel2_Respuesta83
Assets/Q&A/Nivel2_Pregunta9,posx,posy,Assets/Q&A/Nivel2_Respuesta91,Assets/Q&A/Nivel2_Respuesta92,Assets/Q&A/Nivel2_Respuesta93
Assets/Q&A/Nivel2_Pregunta10,posx,posy,Assets/Q&A/Nivel2_Respuesta101,Assets/Q&A/Nivel2_Respuesta102,Assets/Q&A/Nivel2_Respuesta103
